"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"松下电器(美国)知识产权公司; 松下电器产业株式会社","松下电器产业株式会社; 松下电器(美国)知识产权公司","H04L27/34; H04B1/707; H04L1/00; H04L27/38; H04W24/02; H04W28/18; H04W72/04","日本","日本大阪府; 美国加利福尼亚州","日本","日本"
"北京邮电大学","北京智谷技术服务有限公司","H04L29/08","北京","100085 北京市海淀区小营西路33号1层1F06室","北京","10"
"上海掌门科技有限公司","上海果壳电子有限公司","H04L29/06; G10L17/02; G10L21/0232","上海","201204 上海市浦东新区张江高科技园区郭守敬路356号3幢127室","上海","20"
"河南城建学院","国网江苏省电力有限公司信息通信分公司","H04L9/32; H04L29/06; H04L29/08","河南","210000 江苏省南京市北京西路20号","河南","21"
"歌尔科技有限公司; 歌尔光学科技有限公司","歌尔光学科技有限公司; 歌尔科技有限公司","G06F3/01","山东","261031 山东省潍坊市高新区东明路以东玉清街以北(歌尔电子办公楼502室); 266104 山东省青岛市崂山区松岭路500号","山东","26"
"西安理工大学","深圳万知达科技有限公司","G06F16/28; G06F16/245","陕西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","陕西","51"
"阿里巴巴集团控股有限公司","平头哥(上海)半导体技术有限公司","G06N3/082; G06N3/0464","上海","上海市浦东新区自由贸易试验区上科路366号、川和路55弄2号5层","上海","上海"
"重庆邮电大学","北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司","H04L9/08; H04L9/32","北京","100000 北京市海淀区上地九街9号3层301号","北京","10"
"北京工业大学","江苏博智软件科技股份有限公司","G06N3/12; G06Q50/00","北京","210000 江苏省南京市雨花台区软件大道168号3栋5层","北京","21"
"西南交通大学","芽米科技(广州)有限公司","H04L29/06","四川","510530 广东省广州市黄埔区科丰路85号801房","四川","51"
"田雪松; 北京拓思德科技有限公司; 北京奇禄管理咨询有限公司","北京拓思德科技有限公司; 北京奇禄管理咨询有限公司; 田雪松","G06F3/0354","北京","100083 北京市海淀区花园东路10号高德大厦十一层1108号; 100044 北京市海淀区中关村大街18号8层04-758; 100029 北京市朝阳区北辰西路69号峻峰华亭D座1012; 100012 北京市朝阳区北苑家园绣菊园5楼4单元701号","北京","10"
"曙光信息产业(北京)有限公司","曙光信息产业股份有限公司","G06F1/20","天津","300384 天津市西青区华苑产业区(环外)海泰华科大街15号1-3层","天津","30"
"辽宁工程技术大学","山东科技大学","G06Q10/06; G06Q10/00; G06Q50/10; G06K9/62","辽宁","266590 山东省青岛市青岛经济技术开发区前湾港路579号","辽宁","26"
"北京百度网讯科技有限公司","阿波罗智能技术(北京)有限公司","G06Q10/047","北京","100085 北京市海淀区上地十街10号1幢1层105","北京","10"
"王梅","上海豹云网络信息服务有限公司","G06F16/174","上海","200000 上海市长宁区茅台路179号一层L227X室","上海","20"
"中国建设银行股份有限公司","建信金融科技有限责任公司","H04L12/24; H04L29/06; H04L29/08","北京","200120 上海市浦东新区自由贸易试验区银城路99号12层、15层","北京","20"
"西门子公司","苹果公司","G06T9/00; H04N7/30; H04N1/41; H04N19/60","德国","美国加利福尼亚","德国","美国"
"LG电子株式会社","汤姆逊许可公司","H04L1/00; H04B7/08","韩国","法国伊西莱穆利欧市","韩国","法国"
"河南工学院","合肥智慧龙机械设计有限公司","H04L67/1008; H04L67/1029","河南","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","河南","23"
"夏普株式会社","株式会社和冠","G06F3/044; G01B7/00; G06F3/041","日本","日本埼玉县","日本","日本"
"华东师范大学","复旦大学","G06Q10/04; G06Q50/30","上海","200433 上海市杨浦区邯郸路220号","上海","20"
"南京晓庄学院","南京硅基智能科技有限公司","G06K9/34; G06F17/21","江苏","210000 江苏省南京市雨花台区西春路1号北楼2层238室","江苏","21"
"哈尔滨理工大学","合肥净龙环保科技有限公司","G05B17/02","黑龙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1017","黑龙","23"
"三星电子株式会社","高通股份有限公司","H04L1/08; H03M13/00; G06F11/10; G11B20/22; H03M7/00; H03M13/09; H03M13/27; H03M13/29; H03M13/37; H03M13/45; H04L1/00; H04L1/16; H04L1/18","韩国","美国加利福尼亚州","韩国","美国"
"四川九成信息技术有限公司","福州环亚众志计算机有限公司","H04L29/06; H04L29/08","福建","350000 福建省福州市马尾区湖里路27号1楼2-57D室(自贸试验区内)","福建","35"
"西华大学","合肥名龙电子科技有限公司","H01P11/00; H01P3/00; G06N20/00; G06F30/367; G06F30/27; G06F115/12","四川","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","四川","23"
"闽江学院","龙图腾网科技(合肥)股份有限公司","G06Q10/04; G06Q10/08; G06N3/12","福建","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","福建","23"
"西安理工大学","上海星地通讯工程研究所","H04L9/32; H04L9/08","上海","201800 上海市嘉定区工业开发区叶城路1288号","上海","20"
"重庆邮电大学","西安慧脑智能科技有限公司","G06K9/00; G06K9/62","重庆","710000 陕西省西安市高新区丈八街办科技二路清华科技园D座25层","重庆","71"
"鲁东大学","合肥名龙电子科技有限公司","G06T1/00","山东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","山东","23"
"江苏大学","合肥九州龙腾科技成果转化有限公司","G06F30/27; G06N3/048; G06N3/126","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","江苏","23"
"蚂蚁智信(杭州)信息技术有限公司","支付宝(杭州)信息技术有限公司","G06T19/20; G06T13/20; A63F13/5372; A63F13/60","浙江","310013 浙江省杭州市西湖区西溪路556号8层B段801-11","浙江","31"
"无锡桑尼安科技有限公司","福州环亚众志计算机有限公司","G06F19/00","福建","350000 福建省福州市台江区鳌峰路184-186号桂园怡景二期2号楼8层02单元","福建","35"
"环旭电子股份有限公司","环胜电子(深圳)有限公司","G06F1/32; H04L12/24","上海","518057 广东省深圳市南山区高新技术园北区环旭电子园","上海","51"
"东华理工大学","衢州学院","G06F30/13; G06F30/23; G06F119/14","浙江","324003 浙江省衢州市九华北大道78号","浙江","32"
"TCL移动通信科技(宁波)有限公司","广州诚毅科技咨询有限公司","G06F8/656; G06F8/71; H04M1/72448; H04M11/06","浙江","510000 广东省广州市南沙区丰泽东路106号(自编1号楼)X1301-D010825(集群注册)(JM)","浙江","51"
"北京市商汤科技开发有限公司","北京绝影智联科技有限公司","G10L15/10; G10L15/16","北京","100000 北京市大兴区北京经济技术开发区荣华南路2号院1号楼22层2203室","北京","10"
"苏宁云商集团股份有限公司","苏宁易购集团股份有限公司","H04L29/08; G06F16/953; G06Q30/00","江苏","210000 江苏省南京市玄武区苏宁大道1号","江苏","21"
"首都师范大学","北方工业大学","G06F40/30; G06F16/35","北京","100144 北京市石景山区晋元庄路5号","北京","10"
"杭州电子科技大学","芽米科技(广州)有限公司","G06Q10/0631; G06Q10/047; G16H40/20; G06N5/01","浙江","510530 广东省广州市黄埔区科丰路85号801房","浙江","51"
"努比亚技术有限公司","深圳市马博士网络科技有限公司","H04L9/40","广东","518000 广东省深圳市南山区粤海街道深南大道10128号南山软件园东塔601室","广东","51"
"北京明略昭辉科技有限公司","上海明胜品智人工智能科技有限公司","G06V20/40; G06V20/52; H04N7/18","北京","200232 上海市徐汇区龙兰路277号2号楼5楼5B06单元","北京","20"
"姜通渊","青岛大学附属医院","G06K9/00; G06K9/62; G06N3/08; G06T7/00; G06T7/11","山东","266000 山东省青岛市市南区江苏路16号","山东","26"
"北京拓思德科技有限公司; 田雪松","田雪松; 北京拓思德科技有限公司; 北京奇禄管理咨询有限公司","G06F16/22; G06F16/23; G06Q50/20; H04L29/06","北京","100012 北京市朝阳区北苑家园绣菊园5楼4单元701号; 100083 北京市海淀区花园东路10号高德大厦十一层1108号; 100044 北京市海淀区中关村大街18号8层04-758","北京","10"
"上海斐讯数据通信技术有限公司; 台州市吉吉知识产权运营有限公司","台州市吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司","H04L29/12","浙江","318015 浙江省台州市椒江区洪家街道东环大道2388号农港城A区2-3167号; 201616 上海市松江区思贤路3666号","浙江","31"
"浪潮卓数大数据产业发展有限公司","浪潮云信息技术股份公司","G06F21/60","江苏","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","江苏","25"
"广东工业大学","广州鼎航信息技术服务有限公司","G06N3/0464; G06N3/045; G06N3/082; G06F17/16; G06T7/246; G06T7/73; A61B34/37","广东","510000 广东省广州市南沙区丰泽东路106号","广东","51"
"北京中星微电子有限公司","北京中星微电子有限公司; 中星电子股份有限公司","G06T1/00; G01P13/00","北京","天津市经济技术开发区第四大街80号天大科技园A1座2层  邮编 :  300457; 北京市海淀区学院路35号世宁大厦15层  邮编 :  100083","北京","天津"
"张伟","江苏永鼎通信有限公司","H04L29/08; G06T19/20","江苏","215212 江苏省苏州市吴江区黎里镇越秀路888号","江苏","21"
"江苏科技大学","合肥智慧龙机械设计有限公司","G06F11/22","江苏","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","江苏","23"
"华为技术有限公司","华为云计算技术有限公司","G06F17/00; G06F13/00","广东","550025 贵州省贵阳市贵安新区黔中大道交兴功路华为云数据中心","广东","55"
"佛山市幻云科技有限公司","山东汇佳软件科技股份有限公司","H04L29/08; H04L29/06","山东","257000 山东省东营市东营区南一路228号东营软件园B607-609","山东","25"
"四川九成信息技术有限公司","成都鼎智汇科技有限公司","G06F9/44","四川","610041 四川省成都市高新区天府大道中段1388号1栋7层772号","四川","61"
"成都理工大学","合肥名龙电子科技有限公司","G06V10/764; G06V10/82; G06K9/62; G06N3/04; G06N3/08","四川","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","四川","23"
"辽宁工程技术大学","西安科技大学","G06Q10/04; G06Q50/02","陕西","710054 陕西省西安市雁塔中路58号","陕西","71"
"瑞典爱立信有限公司","OPPO广东移动通信有限公司","H04L25/03","瑞典","广东省东莞市长安镇乌沙海滨路18号","瑞典","广东"
"杨明","六安同辉智能科技有限公司","G06K9/00; G06K9/32; G06K9/62","安徽","237000 安徽省六安经济技术开发区新加坡御苑12号楼105室","安徽","23"
"郑州云海信息技术有限公司","浪潮云信息技术有限公司","G06F8/30; G06F8/41; G06F8/70","河南","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","河南","25"
"吴东辉","福建爱特点信息科技有限公司","H04L12/58; H04L12/18","福建","350009 福建省福州市马尾区湖里路27号1#2-45F室(自贸试验区内)","福建","35"
"浪潮通信技术有限公司","浪潮软件科技有限公司","G06F9/50; G06F9/48","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S02号楼","山东","25"
"东华理工大学","合肥净龙环保科技有限公司","G06T17/05; G06V20/13; G01S13/90; G01C5/00","江西","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1017","江西","23"
"泰州悦诚科技信息咨询中心","读书郎教育科技有限公司","G06F1/16; G06F3/01","广东","528458 广东省中山市五桂山镇长命水工业园","广东","52"
"黄燕云","福建爱特点信息科技有限公司","G06K19/06; G06K7/10","福建","350000 福建省福州市马尾区湖里路27号1#2-45F室(自贸试验区内)","福建","35"
"日本电气株式会社","瑞萨电子株式会社","H01L21/338; H01L29/778; H01L29/812","日本","日本神奈川县","日本","日本"
"上海博泰悦臻电子设备制造有限公司; 上海博泰悦臻网络技术服务有限公司","上海博泰悦臻电子设备制造有限公司","G06F17/30","上海","200230 上海市天钥桥路30号美罗大厦19楼","上海","20"
"艾利森电话股份有限公司; 克拉斯特有限责任公司","奥普蒂斯无线技术有限责任公司; 克拉斯特有限责任公司","H04L29/12; H04W8/00; H04W8/26","瑞典","美国德克萨斯州; 美国特拉华州","瑞典","美国"
"阿里巴巴(中国)有限公司; 优酷网络技术(北京)有限公司","阿里云计算有限公司; 阿里巴巴(中国)有限公司","G06F17/30","北京","310024 浙江省杭州市西湖区转塘科技经济区块16号8幢; 310052 浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室","北京","31"
"南方电网数字电网研究院有限公司","南方电网数字平台科技(广东)有限公司","G06F16/27","广东","518000 广东省深圳市南山区沙河街道高发社区侨香路智慧广场D栋501、502、601、602","广东","51"
"桂林电子科技大学","合肥名龙电子科技有限公司","H04L29/06","广西","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","广西","23"
"程博","中国科学院空天信息创新研究院","G06K9/00","北京","100190 北京市海淀区北四环西路19号","北京","10"
"日本电气株式会社","乐天株式会社","H04L12/56; H04L7/00; H04N7/173; H04N19/00; H04N19/102; H04N19/166; H04N19/46; H04N19/65; H04N19/67; H04N19/68; H04N19/70; H04N19/895","日本","日本国东京都品川区东品川四丁目12番3号140-0002","日本","日本"
"南通大学","深圳泓越信息科技有限公司","G06F40/295; G06F16/35; G06N3/04","江苏","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","江苏","51"
"爱特梅尔公司","株式会社和冠","G06F3/038; G06F3/0354","日本","日本埼玉县","日本","日本"
"浙江工业大学","湖州优研知识产权服务有限公司","G06F21/16","浙江","313000 浙江省湖州市南浔区南浔镇朝阳路666号南浔科技创业园一层1020室","浙江","31"
"泰州市朗嘉馨网络科技有限公司","上海臻客信息技术服务有限公司","G06K9/00; G06N3/04; G06Q30/00; H04N21/2187; H04N21/234; H04N21/44","上海","202150 上海市崇明区长兴镇潘园公路1385号10幢105室","上海","20"
"江苏大学","深圳万知达科技有限公司","G06F1/02; G01N29/34","广东","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","广东","51"
"深圳智链物联科技有限公司","佛山市润千宇知识产权服务有限公司","G06F11/34","广东","528000 广东省佛山市禅城区祖庙街道福宁路213号一座写字楼2103室G001(住所申报)","广东","52"
"安徽理工大学","中国矿业大学","G06F17/50; G01N33/24","安徽","221116 江苏省徐州市大学路1号中国矿业大学南湖校区","安徽","22"
"北方工业大学","深圳万知达科技有限公司","G06F8/65; G06F21/62","北京","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","北京","51"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","鸿富锦精密电子(天津)有限公司; 鸿海精密工业股份有限公司","G06F11/22; G06F9/445","广东","天津经济技术开发区海云街80号","广东","天津"
"韶关市启之信息技术有限公司","江苏艾德锐电子科技有限公司","G06F9/4401","江苏","221000 江苏省徐州市新沂市锡沂高新技术产业开发区智慧光电产业园5号厂房","江苏","22"
"阿里巴巴(中国)有限公司","平头哥(上海)半导体技术有限公司","G06F15/173","浙江","200120 上海市浦东新区自由贸易试验区上科路366号、川和路55弄2号5层","浙江","20"
